"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Central Equatoria","Nyori Lasu Primary Hospital",10.5209290766506,30.4239,3.9401
"2","Central Equatoria","Lasu Primary Hospital",10.6395971786552,30.4671,3.9498
"3","Central Equatoria","Mitika Primary Hospital",10.7212452875611,30.5064,3.9582
"4","Central Equatoria","Robeke Primary Hospital",10.8181141835021,30.5386,3.977
"5","Central Equatoria","Kaya Primary Hospital",10.8265023199139,30.88,3.55
"6","Central Equatoria","Rubeke Primary Hospital",10.8366230057641,30.5429,3.9791
"7","Central Equatoria","Yaya Primary Hospital",10.8423532662416,30.8787,3.5499
"8","Central Equatoria","Agonyakiri Primary Hospital",10.8591051564932,30.5144,3.9285
"9","Central Equatoria","Kimba Primary Hospital",10.8687394684419,30.8525,3.5797
"10","Central Equatoria","Hai Jebel Primary Hospital",10.8722228234834,30.8749,3.5426
"11","Central Equatoria","Abegi Primary Hospital",10.9149024072156,30.5646,4.0131
"12","Central Equatoria","Kagelu Primary Hospital",11.064004415374,30.6121,4.0518
"13","Central Equatoria","Kergulu Primary Hospital",11.064004415374,30.6126,4.0519
"14","Central Equatoria","Yondu Primary Hospital",11.1417137514555,30.8983,3.6628
"15","Central Equatoria","Rodoba Primary Hospital",11.1891303356792,30.8072,3.6001
"16","Central Equatoria","Espiscapal Church Primary Hospital",11.2218083565332,30.6654,4.0949
"17","Central Equatoria","Yei County Hospital",11.2239971804401,30.6735,4.0892
"18","Central Equatoria","Goja Primary Hospital",11.2340223394176,30.6363,4.0064
"19","Central Equatoria","Yei River Primary Hospital",11.2425035516835,30.6752,4.0881
"20","Central Equatoria","St Martha Primary Hospital",11.2501149281126,30.6765,4.0923
